Brand,Name,Rating,Price,RAM,ROM,Expandable Storage,Screen Size (inch),Screen Size (cm),Rear Cam,Selfie Cam,Battery,Processor,Image Link
POCO,C55,4.2,"9,999",6,128,1,6.71,17.04,50,5,5000,Mediatek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
Nokia,150,4.1,"2,499",4,4,32,2.4,6.1,0.3,,1020,MediaTek Processor,https://rukminim1.flixcart.com/image/312/312/kfmv9u80/mobile/6/9/j/nokia-150-2020-12gmne21a01-original-imafwfqfcbdphgqp.jpeg?q=70
REDMI,10,4.2,"11,632",8,128,,6.7,17.02,50,,6000,12 Months Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/g/k/-original-imageyuud3bey9hh.jpeg?q=70
SAMSUNG,Galaxy,4.3,"16,999",6,128,1,6.6,16.76,50,8,5000,Qualcomm Snapdragon 750G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/h/k/-original-imagcg22czc3ggvw.jpeg?q=70
POCO,M4,4.3,"12,999",6,64,1,6.43,16.33,64,16,5000,Mediatek Helio G96 Processor,https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/8/9/n/-original-imagc7tmhcbrarpk.jpeg?q=70
REDMI,10,4.3,"9,999",4,64,1,6.7,17.02,50,5,6000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/q/g/a/-original-imagndzzegs4guek.jpeg?q=70
REDMI,A1+,4.2,"6,999",2,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/9/b/-original-imagjyhyrgdtnjjy.jpeg?q=70
POCO,M4,4.3,"13,999",6,128,1,6.43,16.33,64,16,5000,Mediatek Helio G96 Processor,https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/a/6/b/-original-imagc7tdwfp2gz4h.jpeg?q=70
POCO,M4,4.3,"12,999",6,64,1,6.43,16.33,64,16,5000,Mediatek Helio G96 Processor,https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/r/2/1/-original-imagc7tduryuaynx.jpeg?q=70
realme,Narzo,4.4,"12,999",6,128,256,6.6,16.76,50,16,5000,Mediatek Helio G96 Processor,https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70
realme,Narzo,4.4,"12,510",4,64,256,6.6,16.76,50,16,5000,Mediatek Helio G96 Processor,https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70
Infinix,NOTE,4.3,"9,999",4,64,512,6.7,17.02,50,8,5000,Mediatek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/n/x/c/-original-imagm7mzjpzughft.jpeg?q=70
POCO,M4,4.2,"12,999",4,64,512,6.58,16.71,50,8,5000,Mediatek Dimensity 700 Processor,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/g/l/5/-original-imagdu8j9k3ejjc3.jpeg?q=70
REDMI,10,4.2,"11,999",6,128,1,6.7,17.02,50,5,6000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/q/e/-original-imagk4nz6xgtexam.jpeg?q=70
SAMSUNG,Galaxy,4.4,"10,999",4,64,1,6.6,16.76,50,8,6000,Exynos 850 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/x/x/s/-original-imagfhu6dcpdnqkh.jpeg?q=70
Infinix,HOT,4.4,"8,299",4,64,256,6.82,17.32,13Mp,8,6000,MediaTek G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/f/u/-original-imagkgrxdsqpdznh.jpeg?q=70
Infinix,HOT,4.4,"8,299",4,64,256,6.82,17.32,13Mp,8,6000,MediaTek G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/s/b/e/-original-imagkgrxdzzjuguw.jpeg?q=70
Nokia,150,4.1,"2,499",4,4,32,2.4,6.1,0.3,,1020,MediaTek Processor,https://rukminim1.flixcart.com/image/312/312/kfmv9u80/mobile/6/9/j/nokia-150-2020-12gmne21a01-original-imafwfqfcbdphgqp.jpeg?q=70
MOTOROLA,G62,4.1,"17,149",8,128,,6.55,16.64,50,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/6/g/-original-imagh29eknx3cavh.jpeg?q=70
Infinix,HOT,4.4,"8,299",4,64,256,6.82,17.32,13Mp,8,6000,MediaTek G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/f/u/-original-imagkgrxdsqpdznh.jpeg?q=70
Infinix,HOT,4.4,"8,299",4,64,256,6.82,17.32,13Mp,8,6000,MediaTek G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/s/b/e/-original-imagkgrxdzzjuguw.jpeg?q=70
Infinix,HOT,4.4,"8,299",4,64,256,6.82,17.32,13Mp,8,6000,MediaTek G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/o/e/-original-imagkgrxzahq3egj.jpeg?q=70
POCO,M4,4.2,"14,999",6,128,512,6.58,16.71,50,8,5000,Mediatek Dimensity 700 Processor,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/p/o/-original-imagdu8j9vxscfdh.jpeg?q=70
POCO,M5,4.2,"11,999",6,128,512,6.58,16.71,50,8,5000,Mediatek Helio G99 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/z/8/p/-original-imaghsptt8g6rjz9.jpeg?q=70
realme,10,4.5,"27,999",8,256,,6.7,17.02,108,16,5000,Mediatek Dimensity 1080 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/i/y/j/-original-imagkp8fpw35uygd.jpeg?q=70
REDMI,10,4.2,"11,632",8,128,,6.7,17.02,50,,6000,12 Months Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/g/k/-original-imageyuud3bey9hh.jpeg?q=70
Infinix,HOT,4.4,"8,299",4,64,256,6.82,17.32,13Mp,8,6000,MediaTek G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/p/r/-original-imagkgrxwg386pjk.jpeg?q=70
SAMSUNG,Galaxy,4.1,"9,940",4,64,1,6.5,16.51,13,5,5000,MediaTek Helio P35 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/n/h/galaxy-m04-sm-m045f-samsung-original-imagh8ghfyxznzyu.jpeg?q=70
REDMI,A1+,4.2,"6,999",2,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/j/r/-original-imagjyhyaf7tdxnc.jpeg?q=70
Google,Pixel,4.3,"29,999",6,128,,6.14,15.6,12.2,8,4410,Google Tensor Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/s/y/0/-original-imaggbrbxkqr3v3u.jpeg?q=70
Google,Pixel,4.3,"29,999",6,128,,6.14,15.6,12.2,8,4410,Google Tensor Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/g/g/3/-original-imaggbrccwsnygar.jpeg?q=70
Infinix,Hot,4.1,"13,499",6,128,1,6.6,16.76,50,8,5000,Dimensity 810 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/f/c/-original-imaghgm2cequqqx4.jpeg?q=70
Infinix,Hot,4.1,"13,499",6,128,1,6.6,16.76,50,8,5000,Dimensity 810 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/m/j/-original-imaghgm2xxnswjqg.jpeg?q=70
MOTOROLA,g73,4,"18,999",8,128,1,6.5,16.51,50,16,5000,Mediatek Dimensity 930 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/p/l/g73-5g-paux0024in-motorola-original-imagngjhg3bjmazu.jpeg?q=70
SAMSUNG,Galaxy,4.3,"16,999",6,128,1,6.6,16.76,50,8,5000,Qualcomm Snapdragon 750G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/c/v/-original-imagehzbaw2wugme.jpeg?q=70
Infinix,SMART,4.2,"7,499",4,64,2,6.6,16.76,13,5,6000,Unisoc Spreadtrum SC9863A1 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
