Phone name,Rating,Number of ratings,RAM,Storage,Display,Camera,Battery,Processor
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,"1,50,714 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"OPPO K10 5G (Midnight Black, 128 GB)",4.4,"56,932 Ratings",8 GB RAM ,128 GB ROM,16.66 cm (6.56 inch) HD+ Display,48MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 810 Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"MOTOROLA g82 5G(White Lily, 128 GB)",4.2,"6,456 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 5G Processor
"REDMI 10 Prime (Astral White, 128 GB)",4.2,"11,574 Ratings",6 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) Full HD Display,50MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,Helio G88 Processor
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)",4.3,"77,788 Ratings",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",4.3,"77,788 Ratings",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"vivo T1 5G (Starlight Black, 128 GB)",4.3,"62,631 Ratings",4 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor
"APPLE iPhone 14 (Purple, 128 GB)",4.7,"11,289 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"realme 10 (Rush Black, 128 GB)",4.3,400 Ratings,8 GB RAM ,128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Helio G99 Octa Core Processor
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.4,"1,64,651 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor
"REDMI 10 Prime (Phantom Black, 128 GB)",4.2,"11,574 Ratings",6 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) Full HD Display,50MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,Helio G88 Processor
